I [../src/deptran/s_main.cc:136] 2022-05-19 19:20:24.019 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-19 19:20:24.019 | starting process 6399
I [../src/deptran/s_main.cc:279] 2022-05-19 19:20:24.019 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-19 19:20:24.019 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testname7mm4_meq.yml
I [../src/deptran/config.cc:403] 2022-05-19 19:20:24.019 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-19 19:20:24.020 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-19 19:20:24.020 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-19 19:20:24.020 | # of concurrent requests: 100
I [../src/deptran/s_main.cc:290] 2022-05-19 19:20:24.020 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-19 19:20:24.020 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-19 19:20:24.020 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-19 19:20:24.020 | bind address is: 0.0.0.0:5555
I [../src/rrr/reactor/reactor.cc:389] 2022-05-19 19:20:24.020 | starting poll thread
I [../src/rrr/rpc/server.cpp:570] 2022-05-19 19:20:24.020 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-19 19:20:24.020 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-19 19:20:24.020 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-19 19:20:24.020 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-19 19:20:24.020 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-19 19:20:26.024 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-19 19:20:26.025 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-19 19:20:26.026 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-19 19:20:26.027 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-19 19:20:27.611 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-19 19:20:27.613 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-19 19:20:32.611 | wait for finish... n_ceased_cleints: 0,  n_issued: 46703, n_done: 46603, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-19 19:20:37.612 | wait for finish... n_ceased_cleints: 0,  n_issued: 96206, n_done: 96106, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-19 19:20:42.612 | wait for finish... n_ceased_cleints: 0,  n_issued: 144749, n_done: 144649, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-19 19:20:47.612 | wait for finish... n_ceased_cleints: 0,  n_issued: 194394, n_done: 194294, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-19 19:20:52.612 | wait for finish... n_ceased_cleints: 0,  n_issued: 242348, n_done: 242248, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-19 19:20:57.612 | wait for finish... n_ceased_cleints: 0,  n_issued: 291846, n_done: 291746, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-19 19:21:02.612 | wait for finish... n_ceased_cleints: 0,  n_issued: 341827, n_done: 341727, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-19 19:21:07.612 | wait for finish... n_ceased_cleints: 0,  n_issued: 391347, n_done: 391247, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-19 19:21:12.612 | wait for finish... n_ceased_cleints: 0,  n_issued: 441218, n_done: 441118, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-19 19:21:17.612 | wait for finish... n_ceased_cleints: 0,  n_issued: 490795, n_done: 490695, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-19 19:21:22.612 | wait for finish... n_ceased_cleints: 0,  n_issued: 539797, n_done: 539697, n_created_coordinator: 100
I [../src/deptran/s_main.cc:140] 2022-05-19 19:21:26.027 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-19 19:21:27.613 | wait for finish... n_ceased_cleints: 0,  n_issued: 588863, n_done: 588763, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:317] 2022-05-19 19:21:28.616 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-19 19:21:32.613 | Finish:
Total: 594921, Commit: 594921, Attempts: 0, Running for 60, Throughput: 9915.35

I [../src/deptran/client_worker.cc:348] 2022-05-19 19:21:32.613 | Work: wait_for_shutdown at client 3
