I [../src/deptran/s_main.cc:136] 2022-05-19 22:22:54.775 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-19 22:22:54.775 | starting process 3174
I [../src/deptran/s_main.cc:279] 2022-05-19 22:22:54.775 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-19 22:22:54.775 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testnamek5d874v6.yml
I [../src/deptran/config.cc:403] 2022-05-19 22:22:54.776 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-19 22:22:54.776 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-19 22:22:54.776 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-19 22:22:54.776 | # of concurrent requests: 220
I [../src/deptran/s_main.cc:290] 2022-05-19 22:22:54.776 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-19 22:22:54.776 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-19 22:22:54.776 | Start control server on port 5555
I [../src/rrr/reactor/reactor.cc:389] 2022-05-19 22:22:54.776 | starting poll thread
I [../src/rrr/rpc/server.cpp:575] 2022-05-19 22:22:54.776 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-19 22:22:54.776 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-19 22:22:54.776 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-19 22:22:54.776 | client enabled, number of sites: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-19 22:22:54.776 | starting poll thread
I [../src/deptran/communicator.cc:25] 2022-05-19 22:22:54.776 | size of partitions: 1
I [../src/deptran/communicator.cc:191] 2022-05-19 22:22:56.782 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-19 22:22:56.783 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-19 22:22:56.785 | connect to site: 10.0.0.15:10002 success!
