I [../src/deptran/s_main.cc:136] 2022-05-19 22:50:56.359 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-19 22:50:56.359 | starting process 7291
I [../src/deptran/s_main.cc:279] 2022-05-19 22:50:56.359 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-19 22:50:56.359 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testname30u4rcst.yml
I [../src/deptran/config.cc:403] 2022-05-19 22:50:56.360 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-19 22:50:56.360 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-19 22:50:56.360 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-19 22:50:56.360 | # of concurrent requests: 14
I [../src/deptran/s_main.cc:290] 2022-05-19 22:50:56.360 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-19 22:50:56.360 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-19 22:50:56.360 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-19 22:50:56.360 | bind address is: 0.0.0.0:5555
I [../src/rrr/reactor/reactor.cc:389] 2022-05-19 22:50:56.360 | starting poll thread
I [../src/rrr/rpc/server.cpp:570] 2022-05-19 22:50:56.360 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-19 22:50:56.360 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-19 22:50:56.360 | client enabled, number of sites: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-19 22:50:56.360 | starting poll thread
I [../src/deptran/communicator.cc:25] 2022-05-19 22:50:56.360 | size of partitions: 1
I [../src/deptran/communicator.cc:191] 2022-05-19 22:50:58.364 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-19 22:50:58.365 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-19 22:50:58.366 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-19 22:50:58.367 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:50:59.948 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-19 22:50:59.949 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:51:04.948 | wait for finish... n_ceased_cleints: 0,  n_issued: 57956, n_done: 57942, n_created_coordinator: 14
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:51:09.948 | wait for finish... n_ceased_cleints: 0,  n_issued: 118943, n_done: 118929, n_created_coordinator: 14
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:51:14.948 | wait for finish... n_ceased_cleints: 0,  n_issued: 176461, n_done: 176447, n_created_coordinator: 14
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:51:19.948 | wait for finish... n_ceased_cleints: 0,  n_issued: 235425, n_done: 235411, n_created_coordinator: 14
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:51:24.948 | wait for finish... n_ceased_cleints: 0,  n_issued: 293243, n_done: 293229, n_created_coordinator: 14
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:51:29.948 | wait for finish... n_ceased_cleints: 0,  n_issued: 351049, n_done: 351035, n_created_coordinator: 14
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:51:34.948 | wait for finish... n_ceased_cleints: 0,  n_issued: 407788, n_done: 407774, n_created_coordinator: 14
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:51:39.949 | wait for finish... n_ceased_cleints: 0,  n_issued: 464906, n_done: 464892, n_created_coordinator: 14
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:51:44.949 | wait for finish... n_ceased_cleints: 0,  n_issued: 521335, n_done: 521321, n_created_coordinator: 14
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:51:49.949 | wait for finish... n_ceased_cleints: 0,  n_issued: 579722, n_done: 579708, n_created_coordinator: 14
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:51:54.949 | wait for finish... n_ceased_cleints: 0,  n_issued: 637809, n_done: 637795, n_created_coordinator: 14
I [../src/deptran/s_main.cc:140] 2022-05-19 22:51:58.367 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:51:59.949 | wait for finish... n_ceased_cleints: 0,  n_issued: 698317, n_done: 698303, n_created_coordinator: 14
I [../src/deptran/client_worker.cc:317] 2022-05-19 22:52:00.947 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-19 22:52:04.949 | Finish:
Total: 707002, Commit: 707002, Attempts: 0, Running for 60, Throughput: 11783.37

I [../src/deptran/client_worker.cc:348] 2022-05-19 22:52:04.949 | Work: wait_for_shutdown at client 3
