I [../src/deptran/s_main.cc:136] 2022-05-19 23:21:33.647 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-19 23:21:33.647 | starting process 10988
I [../src/deptran/s_main.cc:279] 2022-05-19 23:21:33.647 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-19 23:21:33.647 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testnamer27wu0m2.yml
I [../src/deptran/config.cc:403] 2022-05-19 23:21:33.647 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-19 23:21:33.647 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-19 23:21:33.648 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-19 23:21:33.648 | # of concurrent requests: 12
I [../src/deptran/s_main.cc:290] 2022-05-19 23:21:33.648 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-19 23:21:33.648 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-19 23:21:33.648 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-19 23:21:33.648 | bind address is: 0.0.0.0:5555
I [../src/rrr/reactor/reactor.cc:389] 2022-05-19 23:21:33.648 | starting poll thread
I [../src/rrr/rpc/server.cpp:570] 2022-05-19 23:21:33.648 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-19 23:21:33.648 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-19 23:21:33.648 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-19 23:21:33.648 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-19 23:21:33.648 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-19 23:21:35.652 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-19 23:21:35.653 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-19 23:21:35.654 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-19 23:21:35.654 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:21:37.239 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-19 23:21:37.240 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:21:42.239 | wait for finish... n_ceased_cleints: 0,  n_issued: 57940, n_done: 57928, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:21:47.239 | wait for finish... n_ceased_cleints: 0,  n_issued: 116589, n_done: 116577, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:21:52.239 | wait for finish... n_ceased_cleints: 0,  n_issued: 169098, n_done: 169086, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:21:57.239 | wait for finish... n_ceased_cleints: 0,  n_issued: 220297, n_done: 220285, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:22:02.239 | wait for finish... n_ceased_cleints: 0,  n_issued: 274475, n_done: 274463, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:22:07.240 | wait for finish... n_ceased_cleints: 0,  n_issued: 327769, n_done: 327757, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:22:12.240 | wait for finish... n_ceased_cleints: 0,  n_issued: 381090, n_done: 381078, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:22:17.240 | wait for finish... n_ceased_cleints: 0,  n_issued: 433682, n_done: 433670, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:22:22.240 | wait for finish... n_ceased_cleints: 0,  n_issued: 485106, n_done: 485094, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:22:27.240 | wait for finish... n_ceased_cleints: 0,  n_issued: 537806, n_done: 537794, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:22:32.240 | wait for finish... n_ceased_cleints: 0,  n_issued: 590707, n_done: 590695, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:22:37.240 | wait for finish... n_ceased_cleints: 0,  n_issued: 644276, n_done: 644264, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:22:42.240 | wait for finish... n_ceased_cleints: 0,  n_issued: 698148, n_done: 698136, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:22:47.240 | wait for finish... n_ceased_cleints: 0,  n_issued: 751518, n_done: 751506, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:22:52.240 | wait for finish... n_ceased_cleints: 0,  n_issued: 799883, n_done: 799871, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:22:57.241 | wait for finish... n_ceased_cleints: 0,  n_issued: 851850, n_done: 851838, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:23:02.241 | wait for finish... n_ceased_cleints: 0,  n_issued: 905430, n_done: 905418, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:23:07.241 | wait for finish... n_ceased_cleints: 0,  n_issued: 959422, n_done: 959410, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:23:12.241 | wait for finish... n_ceased_cleints: 0,  n_issued: 1012637, n_done: 1012625, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:23:17.241 | wait for finish... n_ceased_cleints: 0,  n_issued: 1066692, n_done: 1066680, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:23:22.241 | wait for finish... n_ceased_cleints: 0,  n_issued: 1120569, n_done: 1120557, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:23:27.241 | wait for finish... n_ceased_cleints: 0,  n_issued: 1174692, n_done: 1174680, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:23:32.241 | wait for finish... n_ceased_cleints: 0,  n_issued: 1227405, n_done: 1227393, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:23:37.242 | wait for finish... n_ceased_cleints: 0,  n_issued: 1281482, n_done: 1281470, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:23:42.242 | wait for finish... n_ceased_cleints: 0,  n_issued: 1334224, n_done: 1334212, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:23:47.242 | wait for finish... n_ceased_cleints: 0,  n_issued: 1387861, n_done: 1387849, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:23:52.242 | wait for finish... n_ceased_cleints: 0,  n_issued: 1435378, n_done: 1435366, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:23:57.242 | wait for finish... n_ceased_cleints: 0,  n_issued: 1484535, n_done: 1484523, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:24:02.242 | wait for finish... n_ceased_cleints: 0,  n_issued: 1538589, n_done: 1538577, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:24:07.242 | wait for finish... n_ceased_cleints: 0,  n_issued: 1591719, n_done: 1591707, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:24:12.242 | wait for finish... n_ceased_cleints: 0,  n_issued: 1645036, n_done: 1645024, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:24:17.242 | wait for finish... n_ceased_cleints: 0,  n_issued: 1698312, n_done: 1698300, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:24:22.242 | wait for finish... n_ceased_cleints: 0,  n_issued: 1751801, n_done: 1751789, n_created_coordinator: 12
