I [../src/deptran/s_main.cc:136] 2022-05-19 23:02:23.271 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-19 23:02:23.271 | starting process 9142
I [../src/deptran/s_main.cc:279] 2022-05-19 23:02:23.271 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-19 23:02:23.271 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testname524sav_h.yml
I [../src/deptran/config.cc:403] 2022-05-19 23:02:23.272 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-19 23:02:23.272 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-19 23:02:23.272 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-19 23:02:23.272 | # of concurrent requests: 12
I [../src/deptran/s_main.cc:290] 2022-05-19 23:02:23.272 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-19 23:02:23.272 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-19 23:02:23.272 | Start control server on port 5555
I [../src/rrr/reactor/reactor.cc:389] 2022-05-19 23:02:23.272 | starting poll thread
I [../src/rrr/rpc/server.cpp:575] 2022-05-19 23:02:23.272 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-19 23:02:23.272 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-19 23:02:23.272 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-19 23:02:23.272 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-19 23:02:23.272 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-19 23:02:23.272 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-19 23:02:25.275 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-19 23:02:25.276 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-19 23:02:25.277 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-19 23:02:25.277 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:02:26.869 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-19 23:02:26.870 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:02:31.869 | wait for finish... n_ceased_cleints: 0,  n_issued: 57383, n_done: 57371, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:02:36.869 | wait for finish... n_ceased_cleints: 0,  n_issued: 114579, n_done: 114567, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:02:41.870 | wait for finish... n_ceased_cleints: 0,  n_issued: 167641, n_done: 167629, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:02:46.870 | wait for finish... n_ceased_cleints: 0,  n_issued: 219295, n_done: 219283, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:02:51.870 | wait for finish... n_ceased_cleints: 0,  n_issued: 270151, n_done: 270139, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:02:56.870 | wait for finish... n_ceased_cleints: 0,  n_issued: 319967, n_done: 319955, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:03:01.870 | wait for finish... n_ceased_cleints: 0,  n_issued: 366468, n_done: 366456, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:03:06.870 | wait for finish... n_ceased_cleints: 0,  n_issued: 412121, n_done: 412109, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:03:11.870 | wait for finish... n_ceased_cleints: 0,  n_issued: 460836, n_done: 460824, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:03:16.870 | wait for finish... n_ceased_cleints: 0,  n_issued: 511302, n_done: 511290, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:03:21.870 | wait for finish... n_ceased_cleints: 0,  n_issued: 561184, n_done: 561172, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:03:26.871 | wait for finish... n_ceased_cleints: 0,  n_issued: 613406, n_done: 613394, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:03:31.871 | wait for finish... n_ceased_cleints: 0,  n_issued: 667325, n_done: 667313, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:03:36.871 | wait for finish... n_ceased_cleints: 0,  n_issued: 722349, n_done: 722337, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:03:41.871 | wait for finish... n_ceased_cleints: 0,  n_issued: 777927, n_done: 777915, n_created_coordinator: 12
