I [../src/deptran/s_main.cc:136] 2022-05-20 15:05:29.889 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-20 15:05:29.889 | starting process 3781
I [../src/deptran/s_main.cc:279] 2022-05-20 15:05:29.889 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-20 15:05:29.890 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testname07az16g6.yml
I [../src/deptran/config.cc:403] 2022-05-20 15:05:29.890 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-20 15:05:29.890 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-20 15:05:29.890 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-20 15:05:29.890 | # of concurrent requests: 80
I [../src/deptran/s_main.cc:290] 2022-05-20 15:05:29.890 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-20 15:05:29.890 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-20 15:05:29.891 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-20 15:05:29.891 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-20 15:05:29.891 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-20 15:05:29.891 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-20 15:05:29.891 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-20 15:05:29.891 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-20 15:05:29.893 | starting poll thread
I [../src/rrr/reactor/reactor.cc:389] 2022-05-20 15:05:29.893 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-20 15:05:30.894 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-20 15:05:31.898 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-20 15:05:31.899 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-20 15:05:31.901 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-20 15:05:32.387 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-20 15:05:32.390 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-20 15:05:37.387 | wait for finish... n_ceased_cleints: 0,  n_issued: 44086, n_done: 44006, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-20 15:05:42.387 | wait for finish... n_ceased_cleints: 0,  n_issued: 92079, n_done: 91999, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-20 15:05:47.387 | wait for finish... n_ceased_cleints: 0,  n_issued: 139841, n_done: 139761, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-20 15:05:52.387 | wait for finish... n_ceased_cleints: 0,  n_issued: 186777, n_done: 186697, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-20 15:05:57.387 | wait for finish... n_ceased_cleints: 0,  n_issued: 234533, n_done: 234453, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-20 15:06:02.387 | wait for finish... n_ceased_cleints: 0,  n_issued: 282659, n_done: 282579, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-20 15:06:07.387 | wait for finish... n_ceased_cleints: 0,  n_issued: 330369, n_done: 330289, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-20 15:06:12.388 | wait for finish... n_ceased_cleints: 0,  n_issued: 378173, n_done: 378093, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-20 15:06:17.388 | wait for finish... n_ceased_cleints: 0,  n_issued: 426450, n_done: 426370, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-20 15:06:22.388 | wait for finish... n_ceased_cleints: 0,  n_issued: 475096, n_done: 475016, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-20 15:06:27.388 | wait for finish... n_ceased_cleints: 0,  n_issued: 522960, n_done: 522880, n_created_coordinator: 80
I [../src/deptran/s_main.cc:140] 2022-05-20 15:06:31.900 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-20 15:06:32.388 | wait for finish... n_ceased_cleints: 0,  n_issued: 570941, n_done: 570861, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:317] 2022-05-20 15:06:33.364 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-20 15:06:37.388 | Finish:
Total: 577254, Commit: 577254, Attempts: 0, Running for 60, Throughput: 9620.90

I [../src/deptran/client_worker.cc:348] 2022-05-20 15:06:37.388 | Work: wait_for_shutdown at client 3
