I [../src/deptran/s_main.cc:136] 2022-05-20 09:24:57.851 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-20 09:24:57.852 | starting process 14442
I [../src/deptran/s_main.cc:279] 2022-05-20 09:24:57.852 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-20 09:24:57.852 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testname6ukp2rew.yml
I [../src/deptran/config.cc:403] 2022-05-20 09:24:57.852 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-20 09:24:57.853 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-20 09:24:57.853 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-20 09:24:57.853 | # of concurrent requests: 130
I [../src/deptran/s_main.cc:290] 2022-05-20 09:24:57.853 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-20 09:24:57.853 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-20 09:24:57.853 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-20 09:24:57.853 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-20 09:24:57.853 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-20 09:24:57.853 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-20 09:24:57.854 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-20 09:24:57.854 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-20 09:24:57.855 | starting poll thread
I [../src/rrr/reactor/reactor.cc:389] 2022-05-20 09:24:57.856 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-20 09:24:58.856 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-20 09:24:59.858 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-20 09:24:59.859 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:191] 2022-05-20 09:24:59.860 | connect to site: 10.0.0.55:10003 success!
I [../src/deptran/communicator.cc:191] 2022-05-20 09:24:59.861 | connect to site: 10.0.0.58:10004 success!
I [../src/deptran/communicator.cc:74] 2022-05-20 09:24:59.862 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-20 09:25:01.606 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-20 09:25:01.612 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-20 09:25:06.606 | wait for finish... n_ceased_cleints: 0,  n_issued: 50694, n_done: 50564, n_created_coordinator: 130
I [../src/deptran/client_worker.cc:330] 2022-05-20 09:25:11.607 | wait for finish... n_ceased_cleints: 0,  n_issued: 105332, n_done: 105202, n_created_coordinator: 130
I [../src/deptran/client_worker.cc:330] 2022-05-20 09:25:16.607 | wait for finish... n_ceased_cleints: 0,  n_issued: 159919, n_done: 159789, n_created_coordinator: 130
I [../src/deptran/client_worker.cc:330] 2022-05-20 09:25:21.607 | wait for finish... n_ceased_cleints: 0,  n_issued: 213969, n_done: 213839, n_created_coordinator: 130
I [../src/deptran/client_worker.cc:330] 2022-05-20 09:25:26.607 | wait for finish... n_ceased_cleints: 0,  n_issued: 268027, n_done: 267897, n_created_coordinator: 130
I [../src/deptran/client_worker.cc:330] 2022-05-20 09:25:31.607 | wait for finish... n_ceased_cleints: 0,  n_issued: 322153, n_done: 322023, n_created_coordinator: 130
I [../src/deptran/client_worker.cc:330] 2022-05-20 09:25:36.607 | wait for finish... n_ceased_cleints: 0,  n_issued: 375970, n_done: 375840, n_created_coordinator: 130
I [../src/deptran/client_worker.cc:330] 2022-05-20 09:25:41.607 | wait for finish... n_ceased_cleints: 0,  n_issued: 429901, n_done: 429771, n_created_coordinator: 130
I [../src/deptran/client_worker.cc:330] 2022-05-20 09:25:46.607 | wait for finish... n_ceased_cleints: 0,  n_issued: 484026, n_done: 483896, n_created_coordinator: 130
I [../src/deptran/client_worker.cc:330] 2022-05-20 09:25:51.607 | wait for finish... n_ceased_cleints: 0,  n_issued: 538930, n_done: 538800, n_created_coordinator: 130
I [../src/deptran/client_worker.cc:330] 2022-05-20 09:25:56.607 | wait for finish... n_ceased_cleints: 0,  n_issued: 593260, n_done: 593130, n_created_coordinator: 130
I [../src/deptran/s_main.cc:140] 2022-05-20 09:25:59.861 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-20 09:26:01.608 | wait for finish... n_ceased_cleints: 0,  n_issued: 648025, n_done: 647895, n_created_coordinator: 130
I [../src/deptran/client_worker.cc:317] 2022-05-20 09:26:02.616 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-20 09:26:06.608 | Finish:
Total: 653958, Commit: 653958, Attempts: 0, Running for 60, Throughput: 10899.30

I [../src/deptran/client_worker.cc:348] 2022-05-20 09:26:06.608 | Work: wait_for_shutdown at client 5
