I [../src/deptran/s_main.cc:136] 2022-05-20 11:07:58.812 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-20 11:07:58.812 | starting process 13090
I [../src/deptran/s_main.cc:279] 2022-05-20 11:07:58.812 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-20 11:07:58.812 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testname8a_sxgum.yml
I [../src/deptran/config.cc:403] 2022-05-20 11:07:58.812 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-20 11:07:58.812 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-20 11:07:58.812 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-20 11:07:58.812 | # of concurrent requests: 220
I [../src/deptran/s_main.cc:290] 2022-05-20 11:07:58.812 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-20 11:07:58.812 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-20 11:07:58.813 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-20 11:07:58.813 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-20 11:07:58.813 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-20 11:07:58.813 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-20 11:07:58.813 | client enabled, number of sites: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-20 11:07:58.814 | starting poll thread
I [../src/deptran/communicator.cc:25] 2022-05-20 11:07:58.814 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-20 11:07:58.817 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-20 11:07:59.816 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-20 11:08:00.819 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-20 11:08:00.820 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:191] 2022-05-20 11:08:00.822 | connect to site: 10.0.0.55:10003 success!
I [../src/deptran/communicator.cc:191] 2022-05-20 11:08:00.822 | connect to site: 10.0.0.58:10004 success!
I [../src/deptran/communicator.cc:74] 2022-05-20 11:08:00.824 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:08:02.583 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-20 11:08:02.593 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:08:07.583 | wait for finish... n_ceased_cleints: 0,  n_issued: 69940, n_done: 69720, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:08:12.583 | wait for finish... n_ceased_cleints: 0,  n_issued: 144144, n_done: 143924, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:08:17.584 | wait for finish... n_ceased_cleints: 0,  n_issued: 212170, n_done: 211950, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:08:22.584 | wait for finish... n_ceased_cleints: 0,  n_issued: 278782, n_done: 278562, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:08:27.584 | wait for finish... n_ceased_cleints: 0,  n_issued: 344546, n_done: 344326, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:08:32.584 | wait for finish... n_ceased_cleints: 0,  n_issued: 411719, n_done: 411499, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:08:37.584 | wait for finish... n_ceased_cleints: 0,  n_issued: 479088, n_done: 478868, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:08:42.584 | wait for finish... n_ceased_cleints: 0,  n_issued: 546629, n_done: 546409, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:08:47.584 | wait for finish... n_ceased_cleints: 0,  n_issued: 613534, n_done: 613314, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:08:52.584 | wait for finish... n_ceased_cleints: 0,  n_issued: 681031, n_done: 680811, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:08:57.584 | wait for finish... n_ceased_cleints: 0,  n_issued: 746931, n_done: 746711, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:09:02.585 | wait for finish... n_ceased_cleints: 0,  n_issued: 813476, n_done: 813256, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:09:07.585 | wait for finish... n_ceased_cleints: 0,  n_issued: 881073, n_done: 880853, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:09:12.585 | wait for finish... n_ceased_cleints: 0,  n_issued: 944585, n_done: 944365, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:09:17.585 | wait for finish... n_ceased_cleints: 0,  n_issued: 1009535, n_done: 1009315, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:09:22.585 | wait for finish... n_ceased_cleints: 0,  n_issued: 1076713, n_done: 1076493, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:09:27.585 | wait for finish... n_ceased_cleints: 0,  n_issued: 1144430, n_done: 1144210, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:09:32.585 | wait for finish... n_ceased_cleints: 0,  n_issued: 1213439, n_done: 1213219, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:09:37.585 | wait for finish... n_ceased_cleints: 0,  n_issued: 1281169, n_done: 1280949, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:09:42.586 | wait for finish... n_ceased_cleints: 0,  n_issued: 1349113, n_done: 1348893, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:09:47.586 | wait for finish... n_ceased_cleints: 0,  n_issued: 1416593, n_done: 1416373, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:09:52.586 | wait for finish... n_ceased_cleints: 0,  n_issued: 1484391, n_done: 1484171, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:09:57.586 | wait for finish... n_ceased_cleints: 0,  n_issued: 1552005, n_done: 1551785, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:02.586 | wait for finish... n_ceased_cleints: 0,  n_issued: 1618079, n_done: 1617859, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:07.586 | wait for finish... n_ceased_cleints: 0,  n_issued: 1686189, n_done: 1685969, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:12.586 | wait for finish... n_ceased_cleints: 0,  n_issued: 1752975, n_done: 1752755, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:17.586 | wait for finish... n_ceased_cleints: 0,  n_issued: 1820140, n_done: 1819920, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:22.586 | wait for finish... n_ceased_cleints: 0,  n_issued: 1887642, n_done: 1887422, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:27.587 | wait for finish... n_ceased_cleints: 0,  n_issued: 1953908, n_done: 1953688, n_created_coordinator: 220
