I [../src/deptran/s_main.cc:136] 2022-05-21 00:53:53.864 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-21 00:53:53.864 | starting process 26048
I [../src/deptran/s_main.cc:279] 2022-05-21 00:53:53.864 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-21 00:53:53.864 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testname9rfmr7xs.yml
I [../src/deptran/config.cc:403] 2022-05-21 00:53:53.864 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-21 00:53:53.864 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-21 00:53:53.864 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-21 00:53:53.864 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-21 00:53:53.864 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-21 00:53:53.864 | # of concurrent requests: 220
I [../src/deptran/s_main.cc:290] 2022-05-21 00:53:53.865 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-21 00:53:53.865 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-21 00:53:53.865 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-21 00:53:53.865 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-21 00:53:53.865 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-21 00:53:53.865 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-21 00:53:53.865 | client enabled, number of sites: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-21 00:53:53.866 | starting poll thread
I [../src/deptran/communicator.cc:25] 2022-05-21 00:53:53.866 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-21 00:53:53.867 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-21 00:53:54.868 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-21 00:53:54.869 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-21 00:53:54.870 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:191] 2022-05-21 00:53:54.878 | connect to site: 10.0.0.55:10003 success!
I [../src/deptran/communicator.cc:191] 2022-05-21 00:53:54.879 | connect to site: 10.0.0.58:10004 success!
I [../src/deptran/communicator.cc:74] 2022-05-21 00:53:54.881 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-21 00:53:56.683 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-21 00:53:56.693 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-21 00:54:01.684 | wait for finish... n_ceased_cleints: 0,  n_issued: 49657, n_done: 49437, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-21 00:54:06.684 | wait for finish... n_ceased_cleints: 0,  n_issued: 101354, n_done: 101134, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-21 00:54:11.684 | wait for finish... n_ceased_cleints: 0,  n_issued: 152046, n_done: 151826, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-21 00:54:16.684 | wait for finish... n_ceased_cleints: 0,  n_issued: 203427, n_done: 203207, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-21 00:54:21.685 | wait for finish... n_ceased_cleints: 0,  n_issued: 253498, n_done: 253278, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-21 00:54:26.685 | wait for finish... n_ceased_cleints: 0,  n_issued: 304437, n_done: 304217, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-21 00:54:31.685 | wait for finish... n_ceased_cleints: 0,  n_issued: 353872, n_done: 353652, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-21 00:54:36.685 | wait for finish... n_ceased_cleints: 0,  n_issued: 404289, n_done: 404069, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-21 00:54:41.685 | wait for finish... n_ceased_cleints: 0,  n_issued: 454737, n_done: 454517, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-21 00:54:46.685 | wait for finish... n_ceased_cleints: 0,  n_issued: 505593, n_done: 505373, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-21 00:54:51.685 | wait for finish... n_ceased_cleints: 0,  n_issued: 556361, n_done: 556141, n_created_coordinator: 220
I [../src/deptran/s_main.cc:140] 2022-05-21 00:54:54.880 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-21 00:54:56.685 | wait for finish... n_ceased_cleints: 0,  n_issued: 606951, n_done: 606731, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:317] 2022-05-21 00:54:57.687 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-21 00:55:01.685 | Finish:
Total: 614339, Commit: 614339, Attempts: 0, Running for 60, Throughput: 10238.98

I [../src/deptran/client_worker.cc:348] 2022-05-21 00:55:01.685 | Work: wait_for_shutdown at client 5
