I [../src/deptran/s_main.cc:136] 2022-05-21 01:00:18.057 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-21 01:00:18.058 | starting process 27176
I [../src/deptran/s_main.cc:279] 2022-05-21 01:00:18.058 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-21 01:00:18.058 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testnamey4eq6oxi.yml
I [../src/deptran/config.cc:403] 2022-05-21 01:00:18.058 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-21 01:00:18.059 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-21 01:00:18.059 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-21 01:00:18.059 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-21 01:00:18.059 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-21 01:00:18.059 | # of concurrent requests: 200
I [../src/deptran/s_main.cc:290] 2022-05-21 01:00:18.059 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-21 01:00:18.059 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-21 01:00:18.060 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-21 01:00:18.060 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-21 01:00:18.060 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-21 01:00:18.060 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-21 01:00:18.060 | client enabled, number of sites: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-21 01:00:18.060 | starting poll thread
I [../src/deptran/communicator.cc:25] 2022-05-21 01:00:18.061 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-21 01:00:18.061 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-21 01:00:19.063 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-21 01:00:19.064 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-21 01:00:19.065 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-21 01:00:19.072 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:00:20.632 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-21 01:00:20.640 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:00:25.632 | wait for finish... n_ceased_cleints: 0,  n_issued: 55605, n_done: 55405, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:00:30.632 | wait for finish... n_ceased_cleints: 0,  n_issued: 115056, n_done: 114856, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:00:35.632 | wait for finish... n_ceased_cleints: 0,  n_issued: 172596, n_done: 172396, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:00:40.632 | wait for finish... n_ceased_cleints: 0,  n_issued: 229611, n_done: 229411, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:00:45.632 | wait for finish... n_ceased_cleints: 0,  n_issued: 284424, n_done: 284224, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:00:50.633 | wait for finish... n_ceased_cleints: 0,  n_issued: 340449, n_done: 340249, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:00:55.633 | wait for finish... n_ceased_cleints: 0,  n_issued: 396359, n_done: 396159, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:01:00.633 | wait for finish... n_ceased_cleints: 0,  n_issued: 452643, n_done: 452443, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:01:05.633 | wait for finish... n_ceased_cleints: 0,  n_issued: 507786, n_done: 507586, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:01:10.633 | wait for finish... n_ceased_cleints: 0,  n_issued: 561236, n_done: 561036, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:01:15.633 | wait for finish... n_ceased_cleints: 0,  n_issued: 616648, n_done: 616448, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:01:20.633 | wait for finish... n_ceased_cleints: 0,  n_issued: 672219, n_done: 672019, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:01:25.633 | wait for finish... n_ceased_cleints: 0,  n_issued: 727358, n_done: 727158, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:01:30.634 | wait for finish... n_ceased_cleints: 0,  n_issued: 782698, n_done: 782498, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:01:35.634 | wait for finish... n_ceased_cleints: 0,  n_issued: 838330, n_done: 838130, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:01:40.634 | wait for finish... n_ceased_cleints: 0,  n_issued: 892463, n_done: 892263, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:01:45.634 | wait for finish... n_ceased_cleints: 0,  n_issued: 948639, n_done: 948439, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-21 01:01:50.634 | wait for finish... n_ceased_cleints: 0,  n_issued: 1002747, n_done: 1002547, n_created_coordinator: 200
