I [../src/deptran/s_main.cc:136] 2022-05-21 02:09:55.512 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-21 02:09:55.513 | starting process 4054
I [../src/deptran/s_main.cc:279] 2022-05-21 02:09:55.513 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-21 02:09:55.513 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testnamelpjzpr9m.yml
I [../src/deptran/config.cc:403] 2022-05-21 02:09:55.513 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-21 02:09:55.513 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-21 02:09:55.513 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-21 02:09:55.513 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-21 02:09:55.513 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-21 02:09:55.513 | # of concurrent requests: 12
I [../src/deptran/s_main.cc:290] 2022-05-21 02:09:55.513 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-21 02:09:55.513 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-21 02:09:55.514 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-21 02:09:55.514 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-21 02:09:55.514 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-21 02:09:55.514 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-21 02:09:55.514 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-21 02:09:55.515 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-21 02:09:55.515 | starting poll thread
I [../src/rrr/reactor/reactor.cc:389] 2022-05-21 02:09:55.517 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-21 02:09:56.518 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-21 02:09:56.519 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-21 02:09:56.520 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-21 02:09:56.521 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:09:58.089 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-21 02:09:58.090 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:10:03.089 | wait for finish... n_ceased_cleints: 0,  n_issued: 46640, n_done: 46628, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:10:08.089 | wait for finish... n_ceased_cleints: 0,  n_issued: 91207, n_done: 91195, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:10:13.089 | wait for finish... n_ceased_cleints: 0,  n_issued: 135140, n_done: 135128, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:10:18.089 | wait for finish... n_ceased_cleints: 0,  n_issued: 178309, n_done: 178297, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:10:23.089 | wait for finish... n_ceased_cleints: 0,  n_issued: 220282, n_done: 220270, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:10:28.089 | wait for finish... n_ceased_cleints: 0,  n_issued: 262977, n_done: 262965, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:10:33.089 | wait for finish... n_ceased_cleints: 0,  n_issued: 306131, n_done: 306119, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:10:38.090 | wait for finish... n_ceased_cleints: 0,  n_issued: 348688, n_done: 348676, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:10:43.090 | wait for finish... n_ceased_cleints: 0,  n_issued: 389472, n_done: 389460, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:10:48.090 | wait for finish... n_ceased_cleints: 0,  n_issued: 429400, n_done: 429388, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:10:53.090 | wait for finish... n_ceased_cleints: 0,  n_issued: 469080, n_done: 469068, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:10:58.090 | wait for finish... n_ceased_cleints: 0,  n_issued: 510131, n_done: 510119, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:11:03.090 | wait for finish... n_ceased_cleints: 0,  n_issued: 550920, n_done: 550908, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:11:08.090 | wait for finish... n_ceased_cleints: 0,  n_issued: 591358, n_done: 591346, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:11:13.090 | wait for finish... n_ceased_cleints: 0,  n_issued: 632236, n_done: 632224, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:11:18.091 | wait for finish... n_ceased_cleints: 0,  n_issued: 671487, n_done: 671475, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:11:23.091 | wait for finish... n_ceased_cleints: 0,  n_issued: 710599, n_done: 710587, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:11:28.091 | wait for finish... n_ceased_cleints: 0,  n_issued: 751175, n_done: 751163, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:11:33.091 | wait for finish... n_ceased_cleints: 0,  n_issued: 791614, n_done: 791602, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:11:38.091 | wait for finish... n_ceased_cleints: 0,  n_issued: 831889, n_done: 831877, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:11:43.091 | wait for finish... n_ceased_cleints: 0,  n_issued: 871703, n_done: 871691, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:11:48.091 | wait for finish... n_ceased_cleints: 0,  n_issued: 911471, n_done: 911459, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:11:53.091 | wait for finish... n_ceased_cleints: 0,  n_issued: 950878, n_done: 950866, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:11:58.092 | wait for finish... n_ceased_cleints: 0,  n_issued: 990524, n_done: 990512, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:12:03.092 | wait for finish... n_ceased_cleints: 0,  n_issued: 1029406, n_done: 1029394, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:12:08.092 | wait for finish... n_ceased_cleints: 0,  n_issued: 1068573, n_done: 1068561, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:12:13.092 | wait for finish... n_ceased_cleints: 0,  n_issued: 1107512, n_done: 1107500, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:12:18.092 | wait for finish... n_ceased_cleints: 0,  n_issued: 1146711, n_done: 1146699, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:12:23.092 | wait for finish... n_ceased_cleints: 0,  n_issued: 1186126, n_done: 1186114, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:12:28.092 | wait for finish... n_ceased_cleints: 0,  n_issued: 1224685, n_done: 1224673, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:12:33.092 | wait for finish... n_ceased_cleints: 0,  n_issued: 1263421, n_done: 1263409, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:12:38.093 | wait for finish... n_ceased_cleints: 0,  n_issued: 1298768, n_done: 1298756, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:12:43.093 | wait for finish... n_ceased_cleints: 0,  n_issued: 1334306, n_done: 1334294, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:12:48.093 | wait for finish... n_ceased_cleints: 0,  n_issued: 1371272, n_done: 1371260, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:12:53.093 | wait for finish... n_ceased_cleints: 0,  n_issued: 1409856, n_done: 1409844, n_created_coordinator: 12
I [../src/deptran/s_main.cc:140] 2022-05-21 02:12:56.520 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-21 02:12:58.093 | wait for finish... n_ceased_cleints: 0,  n_issued: 1448765, n_done: 1448753, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:317] 2022-05-21 02:12:59.035 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-21 02:13:03.093 | Finish:
Total: 1454086, Commit: 1454086, Attempts: 0, Running for 180, Throughput: 8078.26

I [../src/deptran/client_worker.cc:348] 2022-05-21 02:13:03.093 | Work: wait_for_shutdown at client 3
