I [../src/deptran/s_main.cc:136] 2022-05-25 21:21:35.578 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-25 21:21:35.578 | starting process 27987
I [../src/deptran/s_main.cc:279] 2022-05-25 21:21:35.578 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-25 21:21:35.579 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testname2kuo87y1.yml
I [../src/deptran/config.cc:403] 2022-05-25 21:21:35.579 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-25 21:21:35.579 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-25 21:21:35.579 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-25 21:21:35.579 | # of concurrent requests: 40
I [../src/deptran/s_main.cc:290] 2022-05-25 21:21:35.579 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-25 21:21:35.579 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-25 21:21:35.580 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-25 21:21:35.580 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-25 21:21:35.580 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-25 21:21:35.580 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-25 21:21:35.580 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-25 21:21:35.580 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-25 21:21:35.581 | starting poll thread
I [../src/rrr/reactor/reactor.cc:389] 2022-05-25 21:21:35.582 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-25 21:21:36.582 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-25 21:21:37.584 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-25 21:21:37.585 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-25 21:21:37.586 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-25 21:21:38.168 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-25 21:21:38.169 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-25 21:21:43.168 | wait for finish... n_ceased_cleints: 0,  n_issued: 146832, n_done: 146792, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 21:21:48.168 | wait for finish... n_ceased_cleints: 0,  n_issued: 301167, n_done: 301127, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 21:21:53.168 | wait for finish... n_ceased_cleints: 0,  n_issued: 457846, n_done: 457806, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 21:21:58.168 | wait for finish... n_ceased_cleints: 0,  n_issued: 615500, n_done: 615460, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 21:22:03.169 | wait for finish... n_ceased_cleints: 0,  n_issued: 771890, n_done: 771850, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 21:22:08.169 | wait for finish... n_ceased_cleints: 0,  n_issued: 928800, n_done: 928760, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 21:22:13.169 | wait for finish... n_ceased_cleints: 0,  n_issued: 1086183, n_done: 1086143, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 21:22:18.169 | wait for finish... n_ceased_cleints: 0,  n_issued: 1239244, n_done: 1239204, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 21:22:23.169 | wait for finish... n_ceased_cleints: 0,  n_issued: 1395867, n_done: 1395827, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 21:22:28.169 | wait for finish... n_ceased_cleints: 0,  n_issued: 1550887, n_done: 1550847, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 21:22:33.169 | wait for finish... n_ceased_cleints: 0,  n_issued: 1706365, n_done: 1706325, n_created_coordinator: 40
I [../src/deptran/s_main.cc:140] 2022-05-25 21:22:37.586 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-25 21:22:38.169 | wait for finish... n_ceased_cleints: 0,  n_issued: 1859437, n_done: 1859397, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:317] 2022-05-25 21:22:39.167 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-25 21:22:43.169 | Finish:
Total: 1880973, Commit: 1880973, Attempts: 0, Running for 60, Throughput: 31349.55

I [../src/deptran/client_worker.cc:348] 2022-05-25 21:22:43.170 | Work: wait_for_shutdown at client 3
