I [../src/deptran/s_main.cc:136] 2022-05-25 23:47:21.144 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-25 23:47:21.144 | starting process 9664
I [../src/deptran/s_main.cc:279] 2022-05-25 23:47:21.144 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-25 23:47:21.144 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testnamex0ccj7fd.yml
I [../src/deptran/config.cc:403] 2022-05-25 23:47:21.144 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-25 23:47:21.144 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-25 23:47:21.144 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-25 23:47:21.144 | # of concurrent requests: 40
I [../src/deptran/s_main.cc:290] 2022-05-25 23:47:21.144 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-25 23:47:21.144 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-25 23:47:21.145 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-25 23:47:21.145 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-25 23:47:21.145 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-25 23:47:21.145 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-25 23:47:21.145 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-25 23:47:21.146 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-25 23:47:21.147 | starting poll thread
I [../src/rrr/reactor/reactor.cc:389] 2022-05-25 23:47:21.148 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-25 23:47:22.148 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-25 23:47:23.150 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-25 23:47:23.159 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-25 23:47:23.161 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:47:23.711 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-25 23:47:23.712 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:47:28.711 | wait for finish... n_ceased_cleints: 0,  n_issued: 144131, n_done: 144091, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:47:33.711 | wait for finish... n_ceased_cleints: 0,  n_issued: 298519, n_done: 298479, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:47:38.711 | wait for finish... n_ceased_cleints: 0,  n_issued: 449649, n_done: 449609, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:47:43.711 | wait for finish... n_ceased_cleints: 0,  n_issued: 598722, n_done: 598682, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:47:48.712 | wait for finish... n_ceased_cleints: 0,  n_issued: 745309, n_done: 745269, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:47:53.712 | wait for finish... n_ceased_cleints: 0,  n_issued: 892907, n_done: 892867, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:47:58.712 | wait for finish... n_ceased_cleints: 0,  n_issued: 1040449, n_done: 1040409, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:48:03.712 | wait for finish... n_ceased_cleints: 0,  n_issued: 1186468, n_done: 1186428, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:48:08.712 | wait for finish... n_ceased_cleints: 0,  n_issued: 1332895, n_done: 1332855, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:48:13.712 | wait for finish... n_ceased_cleints: 0,  n_issued: 1477427, n_done: 1477387, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:48:18.712 | wait for finish... n_ceased_cleints: 0,  n_issued: 1623863, n_done: 1623823, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:48:23.712 | wait for finish... n_ceased_cleints: 0,  n_issued: 1767332, n_done: 1767292, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:48:28.712 | wait for finish... n_ceased_cleints: 0,  n_issued: 1912485, n_done: 1912445, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:48:33.713 | wait for finish... n_ceased_cleints: 0,  n_issued: 2057773, n_done: 2057733, n_created_coordinator: 40
