I [../src/deptran/s_main.cc:136] 2022-05-27 05:43:36.882 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-27 05:43:36.882 | starting process 16462
I [../src/deptran/s_main.cc:279] 2022-05-27 05:43:36.882 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-27 05:43:36.882 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testname0qloxqgc.yml
I [../src/deptran/config.cc:403] 2022-05-27 05:43:36.882 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-27 05:43:36.882 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-27 05:43:36.883 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-27 05:43:36.883 | # of concurrent requests: 100
I [../src/deptran/s_main.cc:290] 2022-05-27 05:43:36.883 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-27 05:43:36.883 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-27 05:43:36.883 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-27 05:43:36.883 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-27 05:43:36.883 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-27 05:43:36.883 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-27 05:43:36.883 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-27 05:43:36.883 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 05:43:36.886 | starting poll thread
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 05:43:36.888 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-27 05:43:37.887 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 05:43:38.890 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 05:43:38.891 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-27 05:43:38.892 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-27 05:43:39.375 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-27 05:43:39.380 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-27 05:43:44.375 | wait for finish... n_ceased_cleints: 0,  n_issued: 33295, n_done: 33195, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-27 05:43:49.375 | wait for finish... n_ceased_cleints: 0,  n_issued: 69223, n_done: 69123, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-27 05:43:54.375 | wait for finish... n_ceased_cleints: 0,  n_issued: 104907, n_done: 104807, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-27 05:43:59.375 | wait for finish... n_ceased_cleints: 0,  n_issued: 138814, n_done: 138714, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-27 05:44:04.375 | wait for finish... n_ceased_cleints: 0,  n_issued: 174145, n_done: 174045, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-27 05:44:09.376 | wait for finish... n_ceased_cleints: 0,  n_issued: 209859, n_done: 209759, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-27 05:44:14.376 | wait for finish... n_ceased_cleints: 0,  n_issued: 245700, n_done: 245600, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-27 05:44:19.376 | wait for finish... n_ceased_cleints: 0,  n_issued: 280673, n_done: 280573, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-27 05:44:24.376 | wait for finish... n_ceased_cleints: 0,  n_issued: 315587, n_done: 315487, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-27 05:44:29.376 | wait for finish... n_ceased_cleints: 0,  n_issued: 350959, n_done: 350859, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:330] 2022-05-27 05:44:34.376 | wait for finish... n_ceased_cleints: 0,  n_issued: 385225, n_done: 385125, n_created_coordinator: 100
I [../src/deptran/s_main.cc:140] 2022-05-27 05:44:38.891 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-27 05:44:39.376 | wait for finish... n_ceased_cleints: 0,  n_issued: 420210, n_done: 420110, n_created_coordinator: 100
I [../src/deptran/client_worker.cc:317] 2022-05-27 05:44:40.377 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-27 05:44:44.377 | Finish:
Total: 423993, Commit: 423993, Attempts: 0, Running for 60, Throughput: 7066.55

I [../src/deptran/client_worker.cc:348] 2022-05-27 05:44:44.377 | Work: wait_for_shutdown at client 3
