I [../src/deptran/s_main.cc:136] 2022-05-27 07:32:14.585 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-27 07:32:14.585 | starting process 7880
I [../src/deptran/s_main.cc:279] 2022-05-27 07:32:14.585 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-27 07:32:14.585 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testnamehps_g4ew.yml
I [../src/deptran/config.cc:403] 2022-05-27 07:32:14.586 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-27 07:32:14.586 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-27 07:32:14.586 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-27 07:32:14.586 | # of concurrent requests: 220
I [../src/deptran/s_main.cc:290] 2022-05-27 07:32:14.586 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-27 07:32:14.586 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-27 07:32:14.586 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-27 07:32:14.587 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-27 07:32:14.587 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-27 07:32:14.587 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-27 07:32:14.587 | client enabled, number of sites: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 07:32:14.587 | starting poll thread
I [../src/deptran/communicator.cc:25] 2022-05-27 07:32:14.587 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 07:32:14.589 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-27 07:32:15.591 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 07:32:16.593 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 07:32:17.595 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 07:32:17.596 | connect to site: 10.0.0.55:10003 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 07:32:18.599 | connect to site: 10.0.0.58:10004 success!
I [../src/deptran/communicator.cc:74] 2022-05-27 07:32:18.600 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:32:19.521 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-27 07:32:19.533 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:32:24.521 | wait for finish... n_ceased_cleints: 0,  n_issued: 53129, n_done: 52909, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:32:29.521 | wait for finish... n_ceased_cleints: 0,  n_issued: 110234, n_done: 110014, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:32:34.521 | wait for finish... n_ceased_cleints: 0,  n_issued: 168154, n_done: 167934, n_created_coordinator: 220
