I [../src/deptran/s_main.cc:136] 2022-05-27 07:51:22.115 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-27 07:51:22.115 | starting process 12014
I [../src/deptran/s_main.cc:279] 2022-05-27 07:51:22.115 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-27 07:51:22.116 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testnamecyxty3j9.yml
I [../src/deptran/config.cc:403] 2022-05-27 07:51:22.116 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-27 07:51:22.116 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-27 07:51:22.116 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-27 07:51:22.116 | # of concurrent requests: 80
I [../src/deptran/s_main.cc:290] 2022-05-27 07:51:22.116 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-27 07:51:22.116 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-27 07:51:22.117 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-27 07:51:22.117 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-27 07:51:22.117 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-27 07:51:22.117 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-27 07:51:22.117 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-27 07:51:22.117 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 07:51:22.117 | starting poll thread
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 07:51:22.119 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-27 07:51:23.120 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 07:51:24.122 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 07:51:24.123 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-27 07:51:24.125 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:51:24.633 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-27 07:51:24.636 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:51:29.633 | wait for finish... n_ceased_cleints: 0,  n_issued: 155089, n_done: 155009, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:51:34.633 | wait for finish... n_ceased_cleints: 0,  n_issued: 313026, n_done: 312946, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:51:39.633 | wait for finish... n_ceased_cleints: 0,  n_issued: 476802, n_done: 476722, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:51:44.634 | wait for finish... n_ceased_cleints: 0,  n_issued: 632170, n_done: 632090, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:51:49.634 | wait for finish... n_ceased_cleints: 0,  n_issued: 788071, n_done: 787991, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:51:54.634 | wait for finish... n_ceased_cleints: 0,  n_issued: 942470, n_done: 942390, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:51:59.634 | wait for finish... n_ceased_cleints: 0,  n_issued: 1094429, n_done: 1094349, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:52:04.634 | wait for finish... n_ceased_cleints: 0,  n_issued: 1245407, n_done: 1245327, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:52:09.634 | wait for finish... n_ceased_cleints: 0,  n_issued: 1397293, n_done: 1397213, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:52:14.634 | wait for finish... n_ceased_cleints: 0,  n_issued: 1550299, n_done: 1550219, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:52:19.634 | wait for finish... n_ceased_cleints: 0,  n_issued: 1706862, n_done: 1706782, n_created_coordinator: 80
I [../src/deptran/s_main.cc:140] 2022-05-27 07:52:24.124 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:52:24.635 | wait for finish... n_ceased_cleints: 0,  n_issued: 1864170, n_done: 1864090, n_created_coordinator: 80
I [../src/deptran/client_worker.cc:317] 2022-05-27 07:52:25.635 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-27 07:52:29.635 | Finish:
Total: 1886516, Commit: 1886516, Attempts: 0, Running for 60, Throughput: 31441.93

I [../src/deptran/client_worker.cc:348] 2022-05-27 07:52:29.635 | Work: wait_for_shutdown at client 3
