I [../src/deptran/s_main.cc:136] 2022-05-27 08:23:29.612 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-27 08:23:29.612 | starting process 16152
I [../src/deptran/s_main.cc:279] 2022-05-27 08:23:29.612 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-27 08:23:29.612 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testnameperkqgw7.yml
I [../src/deptran/config.cc:403] 2022-05-27 08:23:29.612 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-27 08:23:29.613 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-27 08:23:29.613 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-27 08:23:29.613 | # of concurrent requests: 40
I [../src/deptran/s_main.cc:290] 2022-05-27 08:23:29.613 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-27 08:23:29.613 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-27 08:23:29.613 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-27 08:23:29.613 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-27 08:23:29.613 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-27 08:23:29.613 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-27 08:23:29.613 | client enabled, number of sites: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 08:23:29.614 | starting poll thread
I [../src/deptran/communicator.cc:25] 2022-05-27 08:23:29.615 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 08:23:29.616 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-27 08:23:30.618 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 08:23:31.620 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 08:23:32.622 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-27 08:23:32.624 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-27 08:23:33.397 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-27 08:23:33.400 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-27 08:23:38.398 | wait for finish... n_ceased_cleints: 0,  n_issued: 129876, n_done: 129836, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 08:23:43.398 | wait for finish... n_ceased_cleints: 0,  n_issued: 263962, n_done: 263922, n_created_coordinator: 40
