I [../src/deptran/s_main.cc:136] 2022-05-27 07:55:08.181 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-27 07:55:08.181 | starting process 12899
I [../src/deptran/s_main.cc:279] 2022-05-27 07:55:08.181 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-27 07:55:08.181 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testnamees7amnfp.yml
I [../src/deptran/config.cc:403] 2022-05-27 07:55:08.181 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-27 07:55:08.181 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-27 07:55:08.181 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-27 07:55:08.181 | # of concurrent requests: 40
I [../src/deptran/s_main.cc:290] 2022-05-27 07:55:08.182 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-27 07:55:08.182 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-27 07:55:08.182 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-27 07:55:08.182 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-27 07:55:08.182 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-27 07:55:08.182 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-27 07:55:08.182 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-27 07:55:08.183 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 07:55:08.183 | starting poll thread
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 07:55:08.184 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-27 07:55:09.185 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 07:55:10.188 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 07:55:10.188 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-27 07:55:10.190 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:55:10.760 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-27 07:55:10.762 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:55:15.760 | wait for finish... n_ceased_cleints: 0,  n_issued: 122527, n_done: 122487, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:55:20.760 | wait for finish... n_ceased_cleints: 0,  n_issued: 260977, n_done: 260937, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:55:25.760 | wait for finish... n_ceased_cleints: 0,  n_issued: 374652, n_done: 374612, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:55:30.760 | wait for finish... n_ceased_cleints: 0,  n_issued: 473621, n_done: 473581, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:55:35.760 | wait for finish... n_ceased_cleints: 0,  n_issued: 570677, n_done: 570637, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:55:40.761 | wait for finish... n_ceased_cleints: 0,  n_issued: 667128, n_done: 667088, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:55:45.761 | wait for finish... n_ceased_cleints: 0,  n_issued: 762392, n_done: 762352, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:55:50.761 | wait for finish... n_ceased_cleints: 0,  n_issued: 853304, n_done: 853264, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:55:55.761 | wait for finish... n_ceased_cleints: 0,  n_issued: 947026, n_done: 946986, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:56:00.761 | wait for finish... n_ceased_cleints: 0,  n_issued: 1038641, n_done: 1038601, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:56:05.761 | wait for finish... n_ceased_cleints: 0,  n_issued: 1132715, n_done: 1132675, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:56:10.761 | wait for finish... n_ceased_cleints: 0,  n_issued: 1227939, n_done: 1227899, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:56:15.761 | wait for finish... n_ceased_cleints: 0,  n_issued: 1321249, n_done: 1321209, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:56:20.762 | wait for finish... n_ceased_cleints: 0,  n_issued: 1411426, n_done: 1411386, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:56:25.762 | wait for finish... n_ceased_cleints: 0,  n_issued: 1502829, n_done: 1502789, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:56:30.762 | wait for finish... n_ceased_cleints: 0,  n_issued: 1589358, n_done: 1589318, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:56:35.762 | wait for finish... n_ceased_cleints: 0,  n_issued: 1677386, n_done: 1677346, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:56:40.762 | wait for finish... n_ceased_cleints: 0,  n_issued: 1765116, n_done: 1765076, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:56:45.762 | wait for finish... n_ceased_cleints: 0,  n_issued: 1850256, n_done: 1850216, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:56:50.762 | wait for finish... n_ceased_cleints: 0,  n_issued: 1933096, n_done: 1933056, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:56:55.762 | wait for finish... n_ceased_cleints: 0,  n_issued: 2017908, n_done: 2017868, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:57:00.763 | wait for finish... n_ceased_cleints: 0,  n_issued: 2101661, n_done: 2101621, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:57:05.763 | wait for finish... n_ceased_cleints: 0,  n_issued: 2177296, n_done: 2177256, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:57:10.763 | wait for finish... n_ceased_cleints: 0,  n_issued: 2260783, n_done: 2260743, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:57:15.763 | wait for finish... n_ceased_cleints: 0,  n_issued: 2343574, n_done: 2343534, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:57:20.763 | wait for finish... n_ceased_cleints: 0,  n_issued: 2425166, n_done: 2425126, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:57:25.763 | wait for finish... n_ceased_cleints: 0,  n_issued: 2501870, n_done: 2501830, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:57:30.763 | wait for finish... n_ceased_cleints: 0,  n_issued: 2584777, n_done: 2584737, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:57:35.763 | wait for finish... n_ceased_cleints: 0,  n_issued: 2670730, n_done: 2670690, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:57:40.763 | wait for finish... n_ceased_cleints: 0,  n_issued: 2752195, n_done: 2752155, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:57:45.764 | wait for finish... n_ceased_cleints: 0,  n_issued: 2831393, n_done: 2831353, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:57:50.764 | wait for finish... n_ceased_cleints: 0,  n_issued: 2913534, n_done: 2913494, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:57:55.764 | wait for finish... n_ceased_cleints: 0,  n_issued: 2997173, n_done: 2997133, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:58:00.764 | wait for finish... n_ceased_cleints: 0,  n_issued: 3080459, n_done: 3080419, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:58:05.764 | wait for finish... n_ceased_cleints: 0,  n_issued: 3162730, n_done: 3162690, n_created_coordinator: 40
I [../src/deptran/s_main.cc:140] 2022-05-27 07:58:10.189 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:58:10.764 | wait for finish... n_ceased_cleints: 0,  n_issued: 3264180, n_done: 3264140, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:317] 2022-05-27 07:58:11.759 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-27 07:58:15.764 | Finish:
Total: 3279220, Commit: 3279220, Attempts: 0, Running for 180, Throughput: 18217.89

I [../src/deptran/client_worker.cc:348] 2022-05-27 07:58:15.764 | Work: wait_for_shutdown at client 3
