I [../src/deptran/s_main.cc:136] 2022-05-27 14:39:22.212 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-27 14:39:22.212 | starting process 1691
I [../src/deptran/s_main.cc:279] 2022-05-27 14:39:22.212 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-27 14:39:22.212 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testnamedn49ur2b.yml
I [../src/deptran/config.cc:403] 2022-05-27 14:39:22.212 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-27 14:39:22.213 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-27 14:39:22.213 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-27 14:39:22.213 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-27 14:39:22.213 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-27 14:39:22.213 | # of concurrent requests: 380
I [../src/deptran/s_main.cc:290] 2022-05-27 14:39:22.213 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-27 14:39:22.213 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-27 14:39:22.213 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-27 14:39:22.213 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-27 14:39:22.213 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-27 14:39:22.213 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-27 14:39:22.213 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-27 14:39:22.214 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 14:39:22.214 | starting poll thread
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 14:39:22.215 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-27 14:39:23.217 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 14:39:23.218 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 14:39:23.221 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 14:39:23.222 | connect to site: 10.0.0.55:10003 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 14:39:23.223 | connect to site: 10.0.0.58:10004 success!
I [../src/deptran/communicator.cc:74] 2022-05-27 14:39:23.224 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:39:25.029 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-27 14:39:25.048 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:39:30.029 | wait for finish... n_ceased_cleints: 0,  n_issued: 57209, n_done: 56829, n_created_coordinator: 380
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:39:35.029 | wait for finish... n_ceased_cleints: 0,  n_issued: 116122, n_done: 115742, n_created_coordinator: 380
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:39:40.030 | wait for finish... n_ceased_cleints: 0,  n_issued: 174456, n_done: 174076, n_created_coordinator: 380
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:39:45.030 | wait for finish... n_ceased_cleints: 0,  n_issued: 232983, n_done: 232603, n_created_coordinator: 380
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:39:50.030 | wait for finish... n_ceased_cleints: 0,  n_issued: 290726, n_done: 290346, n_created_coordinator: 380
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:39:55.030 | wait for finish... n_ceased_cleints: 0,  n_issued: 348600, n_done: 348220, n_created_coordinator: 380
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:40:00.031 | wait for finish... n_ceased_cleints: 0,  n_issued: 406910, n_done: 406530, n_created_coordinator: 380
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:40:05.031 | wait for finish... n_ceased_cleints: 0,  n_issued: 464353, n_done: 463973, n_created_coordinator: 380
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:40:10.031 | wait for finish... n_ceased_cleints: 0,  n_issued: 520840, n_done: 520460, n_created_coordinator: 380
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:40:15.031 | wait for finish... n_ceased_cleints: 0,  n_issued: 577241, n_done: 576861, n_created_coordinator: 380
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:40:20.031 | wait for finish... n_ceased_cleints: 0,  n_issued: 634938, n_done: 634558, n_created_coordinator: 380
I [../src/deptran/s_main.cc:140] 2022-05-27 14:40:23.223 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:40:25.031 | wait for finish... n_ceased_cleints: 0,  n_issued: 692066, n_done: 691686, n_created_coordinator: 380
I [../src/deptran/client_worker.cc:317] 2022-05-27 14:40:26.048 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-27 14:40:30.032 | Finish:
Total: 700471, Commit: 700471, Attempts: 0, Running for 60, Throughput: 11674.52

I [../src/deptran/client_worker.cc:348] 2022-05-27 14:40:30.032 | Work: wait_for_shutdown at client 5
