I [../src/deptran/s_main.cc:136] 2022-05-27 14:47:11.500 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-27 14:47:11.500 | starting process 3131
I [../src/deptran/s_main.cc:279] 2022-05-27 14:47:11.500 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-27 14:47:11.500 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testnamepdyxonrt.yml
I [../src/deptran/config.cc:403] 2022-05-27 14:47:11.501 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-27 14:47:11.501 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-27 14:47:11.501 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-27 14:47:11.501 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-27 14:47:11.501 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-27 14:47:11.501 | # of concurrent requests: 200
I [../src/deptran/s_main.cc:290] 2022-05-27 14:47:11.501 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-27 14:47:11.501 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-27 14:47:11.502 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-27 14:47:11.502 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-27 14:47:11.502 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-27 14:47:11.502 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-27 14:47:11.502 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-27 14:47:11.504 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 14:47:11.504 | starting poll thread
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 14:47:11.505 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-27 14:47:12.506 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 14:47:12.508 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 14:47:12.509 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-27 14:47:12.510 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:47:14.074 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-27 14:47:14.083 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:47:19.074 | wait for finish... n_ceased_cleints: 0,  n_issued: 48898, n_done: 48698, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:47:24.075 | wait for finish... n_ceased_cleints: 0,  n_issued: 97385, n_done: 97185, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:47:29.075 | wait for finish... n_ceased_cleints: 0,  n_issued: 145706, n_done: 145506, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:47:34.075 | wait for finish... n_ceased_cleints: 0,  n_issued: 193907, n_done: 193707, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:47:39.075 | wait for finish... n_ceased_cleints: 0,  n_issued: 242085, n_done: 241885, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:47:44.075 | wait for finish... n_ceased_cleints: 0,  n_issued: 290964, n_done: 290764, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:47:49.075 | wait for finish... n_ceased_cleints: 0,  n_issued: 339674, n_done: 339474, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:47:54.075 | wait for finish... n_ceased_cleints: 0,  n_issued: 389023, n_done: 388823, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:47:59.076 | wait for finish... n_ceased_cleints: 0,  n_issued: 437426, n_done: 437226, n_created_coordinator: 200
