I [../src/deptran/s_main.cc:136] 2022-05-27 16:05:34.684 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-27 16:05:34.684 | starting process 15834
I [../src/deptran/s_main.cc:279] 2022-05-27 16:05:34.684 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-27 16:05:34.684 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testname3p0gggis.yml
I [../src/deptran/config.cc:403] 2022-05-27 16:05:34.685 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-27 16:05:34.685 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-27 16:05:34.685 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-27 16:05:34.685 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-27 16:05:34.685 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-27 16:05:34.685 | # of concurrent requests: 16
I [../src/deptran/s_main.cc:290] 2022-05-27 16:05:34.685 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-27 16:05:34.685 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-27 16:05:34.686 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-27 16:05:34.686 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-27 16:05:34.686 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-27 16:05:34.686 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-27 16:05:34.686 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-27 16:05:34.687 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 16:05:34.687 | starting poll thread
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 16:05:34.689 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-27 16:05:35.690 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 16:05:35.691 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 16:05:35.692 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-27 16:05:35.694 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:05:37.249 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-27 16:05:37.250 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:05:42.249 | wait for finish... n_ceased_cleints: 0,  n_issued: 51959, n_done: 51943, n_created_coordinator: 16
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:05:47.249 | wait for finish... n_ceased_cleints: 0,  n_issued: 107008, n_done: 106992, n_created_coordinator: 16
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:05:52.249 | wait for finish... n_ceased_cleints: 0,  n_issued: 159647, n_done: 159631, n_created_coordinator: 16
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:05:57.249 | wait for finish... n_ceased_cleints: 0,  n_issued: 211593, n_done: 211577, n_created_coordinator: 16
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:06:02.249 | wait for finish... n_ceased_cleints: 0,  n_issued: 258772, n_done: 258756, n_created_coordinator: 16
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:06:07.257 | wait for finish... n_ceased_cleints: 0,  n_issued: 304966, n_done: 304950, n_created_coordinator: 16
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:06:12.257 | wait for finish... n_ceased_cleints: 0,  n_issued: 350350, n_done: 350334, n_created_coordinator: 16
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:06:17.257 | wait for finish... n_ceased_cleints: 0,  n_issued: 395926, n_done: 395910, n_created_coordinator: 16
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:06:22.257 | wait for finish... n_ceased_cleints: 0,  n_issued: 441109, n_done: 441093, n_created_coordinator: 16
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:06:27.257 | wait for finish... n_ceased_cleints: 0,  n_issued: 486446, n_done: 486430, n_created_coordinator: 16
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:06:32.257 | wait for finish... n_ceased_cleints: 0,  n_issued: 530790, n_done: 530774, n_created_coordinator: 16
I [../src/deptran/s_main.cc:140] 2022-05-27 16:06:35.693 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:06:37.257 | wait for finish... n_ceased_cleints: 0,  n_issued: 576933, n_done: 576917, n_created_coordinator: 16
I [../src/deptran/client_worker.cc:317] 2022-05-27 16:06:38.247 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-27 16:06:42.257 | Finish:
Total: 583680, Commit: 583680, Attempts: 0, Running for 60, Throughput: 9728.00

I [../src/deptran/client_worker.cc:348] 2022-05-27 16:06:42.258 | Work: wait_for_shutdown at client 3
