I [../src/deptran/s_main.cc:136] 2022-05-27 16:27:26.456 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-27 16:27:26.457 | starting process 19028
I [../src/deptran/s_main.cc:279] 2022-05-27 16:27:26.457 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-27 16:27:26.457 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testnameqim754gr.yml
I [../src/deptran/config.cc:403] 2022-05-27 16:27:26.457 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-27 16:27:26.457 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-27 16:27:26.457 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-27 16:27:26.457 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-27 16:27:26.457 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-27 16:27:26.457 | # of concurrent requests: 12
I [../src/deptran/s_main.cc:290] 2022-05-27 16:27:26.457 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-27 16:27:26.457 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-27 16:27:26.458 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-27 16:27:26.458 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-27 16:27:26.458 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-27 16:27:26.458 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-27 16:27:26.458 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-27 16:27:26.458 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 16:27:26.460 | starting poll thread
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 16:27:26.460 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-27 16:27:27.461 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 16:27:27.462 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 16:27:27.463 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-27 16:27:27.465 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:27:29.015 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
I [../src/deptran/client_worker.cc:314] 2022-05-27 16:27:29.016 | wait for all virtual clients to stop issuing new requests.
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:27:34.015 | wait for finish... n_ceased_cleints: 0,  n_issued: 45810, n_done: 45798, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:27:39.015 | wait for finish... n_ceased_cleints: 0,  n_issued: 95339, n_done: 95327, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:27:44.016 | wait for finish... n_ceased_cleints: 0,  n_issued: 141662, n_done: 141650, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:27:49.016 | wait for finish... n_ceased_cleints: 0,  n_issued: 186866, n_done: 186854, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:27:54.016 | wait for finish... n_ceased_cleints: 0,  n_issued: 232123, n_done: 232111, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:27:59.016 | wait for finish... n_ceased_cleints: 0,  n_issued: 276907, n_done: 276895, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:28:04.016 | wait for finish... n_ceased_cleints: 0,  n_issued: 320141, n_done: 320129, n_created_coordinator: 12
