I [../src/deptran/s_main.cc:136] 2022-05-27 16:11:13.960 | PWD : 
I [../src/deptran/s_main.cc:284] 2022-05-27 16:11:13.960 | starting process 17185
I [../src/deptran/s_main.cc:279] 2022-05-27 16:11:13.960 | ulimit -n is 1024
I [../src/deptran/config.cc:285] 2022-05-27 16:11:13.960 | LoadYML: /home/xuhao/code/depfast/tmp/janus-final-testnamedw9ialqy.yml
I [../src/deptran/config.cc:403] 2022-05-27 16:11:13.961 | BuildSiteProcMap
I [../src/deptran/config.cc:655] 2022-05-27 16:11:13.961 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-27 16:11:13.961 | group size: 1
I [../src/deptran/config.cc:655] 2022-05-27 16:11:13.961 | group size: 1
I [../src/deptran/config.cc:681] 2022-05-27 16:11:13.961 | client forwarding: 0
I [../src/deptran/config.cc:320] 2022-05-27 16:11:13.961 | # of concurrent requests: 12
I [../src/deptran/s_main.cc:290] 2022-05-27 16:11:13.961 | Read config finish
I [../src/deptran/s_main.cc:30] 2022-05-27 16:11:13.961 | client_setup_heartbeat
I [../src/deptran/s_main.cc:46] 2022-05-27 16:11:13.962 | Start control server on port 5555
I [../src/rrr/rpc/server.cpp:575] 2022-05-27 16:11:13.962 | bind address is: 0.0.0.0:5555
I [../src/rrr/rpc/server.cpp:570] 2022-05-27 16:11:13.962 | rrr::Server: started on 0.0.0.0:5555
I [../src/deptran/s_main.cc:314] 2022-05-27 16:11:13.962 | no servers on this process
I [../src/deptran/s_main.cc:54] 2022-05-27 16:11:13.962 | client enabled, number of sites: 1
I [../src/deptran/communicator.cc:25] 2022-05-27 16:11:13.963 | size of partitions: 1
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 16:11:13.963 | starting poll thread
I [../src/rrr/reactor/reactor.cc:389] 2022-05-27 16:11:13.965 | starting poll thread
I [../src/deptran/communicator.cc:191] 2022-05-27 16:11:14.965 | connect to site: 10.0.0.13:10000 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 16:11:14.967 | connect to site: 10.0.0.14:10001 success!
I [../src/deptran/communicator.cc:191] 2022-05-27 16:11:14.968 | connect to site: 10.0.0.15:10002 success!
I [../src/deptran/communicator.cc:74] 2022-05-27 16:11:14.969 | Done waiting to connect to client leaders.
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:11:16.546 | wait for finish... n_ceased_cleints: 0,  n_issued: 0, n_done: 0, n_created_coordinator: 0
